ID;StationStart;Line;TimeStart;StationEnd;TimeEnd;global_id;
Локальный идентификатор;Станция отправления;Направление Аэроэкспресс;Время отправления со станции;Конечная станция направления Аэроэкспресс;Время прибытия на конечную станцию направления Аэроэкспресс;global_id;
44;Аэропорт Внуково;Во Внуково;13:15;Киевский вокзал;13:48;2449494980;
62;Аэропорт Внуково;Во Внуково;13:15;Аминьевская;13:36;2449494998;
275;Аэропорт Шереметьево;В Шереметьево;13:25;Окружная;14:16;2449495163;
313;Аэропорт Шереметьево;В Шереметьево;13:25;Белорусский вокзал;14:37;2449495210;
237;Аэропорт Шереметьево;В Шереметьево;13:25;Савёловская;14:31;2449497374;
388;Окружная;В Шереметьево;13:27;Аэропорт Шереметьево;14:18;2449492758;
89;Павелецкий вокзал;В Домодедово;13:30;Аэропорт Домодедово;14:17;2449492135;
163;Аэропорт Домодедово;В Домодедово;13:30;Павелецкий вокзал;14:14;2449495030;
200;Аэропорт Домодедово;В Домодедово;13:30;Верхние Котлы;14:07;2449495074;
351;Белорусский вокзал;В Шереметьево;13:36;Аэропорт Шереметьево;14:48;2449492684;
126;Верхние Котлы;В Домодедово;13:38;Аэропорт Домодедово;14:17;2449492228;
427;Савёловская;В Шереметьево;13:42;Аэропорт Шереметьево;14:48;2625375210;
276;Аэропорт Шереметьево;В Шереметьево;13:55;Окружная;14:46;2449495165;
314;Аэропорт Шереметьево;В Шереметьево;13:55;Белорусский вокзал;15:07;2449495211;
238;Аэропорт Шереметьево;В Шереметьево;13:55;Савёловская;15:01;2449501254;
389;Окружная;В Шереметьево;13:57;Аэропорт Шереметьево;14:48;2449492760;
90;Павелецкий вокзал;В Домодедово;14:00;Аэропорт Домодедово;14:47;2449492162;
164;Аэропорт Домодедово;В Домодедово;14:00;Павелецкий вокзал;14:49;2449495031;
201;Аэропорт Домодедово;В Домодедово;14:00;Верхние Котлы;14:39;2449495075;
9;Киевский вокзал;Во Внуково;14:00;Аэропорт Внуково;14:33;2449497906;
352;Белорусский вокзал;В Шереметьево;14:06;Аэропорт Шереметьево;15:18;2449492686;
127;Верхние Котлы;В Домодедово;14:08;Аэропорт Домодедово;14:47;2449492227;
27;Аминьевская;Во Внуково;14:10;Аэропорт Внуково;14:33;2449494963;
428;Савёловская;В Шереметьево;14:12;Аэропорт Шереметьево;15:18;2625375211;
45;Аэропорт Внуково;Во Внуково;14:15;Киевский вокзал;14:48;2449494981;
63;Аэропорт Внуково;Во Внуково;14:15;Аминьевская;14:36;2449494999;
277;Аэропорт Шереметьево;В Шереметьево;14:25;Окружная;15:16;2449495166;
315;Аэропорт Шереметьево;В Шереметьево;14:25;Белорусский вокзал;15:37;2449495212;
239;Аэропорт Шереметьево;В Шереметьево;14:25;Савёловская;15:31;2449501357;
390;Окружная;В Шереметьево;14:27;Аэропорт Шереметьево;15:18;2449492761;
91;Павелецкий вокзал;В Домодедово;14:30;Аэропорт Домодедово;15:18;2449492140;
165;Аэропорт Домодедово;В Домодедово;14:30;Павелецкий вокзал;15:17;2449495032;
202;Аэропорт Домодедово;В Домодедово;14:30;Верхние Котлы;15:09;2449495076;
353;Белорусский вокзал;В Шереметьево;14:36;Аэропорт Шереметьево;15:48;2449492687;
128;Верхние Котлы;В Домодедово;14:38;Аэропорт Домодедово;15:18;2449492231;
429;Савёловская;В Шереметьево;14:42;Аэропорт Шереметьево;15:48;2625375212;
278;Аэропорт Шереметьево;В Шереметьево;14:55;Окружная;15:46;2449495168;
316;Аэропорт Шереметьево;В Шереметьево;14:55;Белорусский вокзал;16:07;2449495214;
240;Аэропорт Шереметьево;В Шереметьево;14:55;Савёловская;16:01;2449501433;
391;Окружная;В Шереметьево;14:57;Аэропорт Шереметьево;15:48;2449495227;
92;Павелецкий вокзал;В Домодедово;15:00;Аэропорт Домодедово;15:48;2449492166;
166;Аэропорт Домодедово;В Домодедово;15:00;Павелецкий вокзал;15:46;2449495033;
203;Аэропорт Домодедово;В Домодедово;15:00;Верхние Котлы;15:39;2449495077;
10;Киевский вокзал;Во Внуково;15:00;Аэропорт Внуково;15:33;2449498910;
354;Белорусский вокзал;В Шереметьево;15:06;Аэропорт Шереметьево;16:18;2449492690;
129;Верхние Котлы;В Домодедово;15:08;Аэропорт Домодедово;15:48;2449499017;
28;Аминьевская;Во Внуково;15:10;Аэропорт Внуково;15:33;2449494964;
430;Савёловская;В Шереметьево;15:12;Аэропорт Шереметьево;16:18;2625375213;
46;Аэропорт Внуково;Во Внуково;15:15;Киевский вокзал;15:48;2449494982;
64;Аэропорт Внуково;Во Внуково;15:15;Аминьевская;15:36;2449495000;
279;Аэропорт Шереметьево;В Шереметьево;15:25;Окружная;16:16;2449495169;
317;Аэропорт Шереметьево;В Шереметьево;15:25;Белорусский вокзал;16:37;2449495215;
241;Аэропорт Шереметьево;В Шереметьево;15:25;Савёловская;16:31;2449501533;
392;Окружная;В Шереметьево;15:27;Аэропорт Шереметьево;16:18;2449495228;
93;Павелецкий вокзал;В Домодедово;15:30;Аэропорт Домодедово;16:18;2449492145;
167;Аэропорт Домодедово;В Домодедово;15:30;Павелецкий вокзал;16:19;2449495034;
204;Аэропорт Домодедово;В Домодедово;15:30;Верхние Котлы;16:12;2449495078;
355;Белорусский вокзал;В Шереметьево;15:36;Аэропорт Шереметьево;16:48;2449492692;
130;Верхние Котлы;В Домодедово;15:38;Аэропорт Домодедово;16:18;2449499119;
431;Савёловская;В Шереметьево;15:42;Аэропорт Шереметьево;16:48;2625375214;
280;Аэропорт Шереметьево;В Шереметьево;15:55;Окружная;16:46;2449495170;
318;Аэропорт Шереметьево;В Шереметьево;15:55;Белорусский вокзал;17:07;2449495216;
242;Аэропорт Шереметьево;В Шереметьево;15:55;Савёловская;17:01;2449501624;
